above;adhik;This is too much;यह बहुत अधिक है
accurate;satik;That was an accurate attack;वह सटीक वार था
addend;yojya
addition;yog
add;jodna;It's easy to add this;यह जोड़ना आसान है
after;bad;Do it after studying;अध्ययन के बाद करो
afternoon;dopahara
alike;tulya
all;sab
almost;kamobesh
amount;matra
angle;kon;Angle is 180;कोण 180 है
answer;uttar;Please give answer;कृपया उत्तर दें
application;anuparyog
apply;lagou
approach;phauchna
arc;chap;Make an arc;एक चाप बनाओ
area;kshetraphal;Area of rectangle;आयत का क्षेत्रफल
argument;tark;He gave nice argument;उसने अच्छा तर्क दिया
arrange;vyavastith;Please arrange it;कृपया इसे व्यवस्थित करें
array;sarani
attribute;guun
autumn;sharad;Autumn has come;शरद ऋतु आ गया है
average;ausat;His average marks are good;उनके औसत अंक अच्छे हैं
axis;aksh
base;aadhar;This is the base area;यह आधार क्षेत्र है
before;aage
below;neeche;Cat is below the table;बिल्ली टेबल के नीचे है
beside;bagal;He sits beside me;वह मेरे बगल में बैठता है
between;beech;He sits in between us;वह हमारे बीच में बैठता है
big;bada;He is a big boy;वह एक बड़ा लड़का है
bisect;dvibhajit
calculate;ganana;Calculate the sum;योग की गणना करें
capacity;kshmata;His capacity is less;उनकी क्षमता कम है
cent;sht
chance;avasar
charts;manchitra
circle;vartul
circumference;paridhi;Please calculate circumference;कृपया परिधि की गणना करें
clarify;samazaana
closed;band;This box is closed;यह बॉक्स बंद है
coin;sikka;This is a coin;यह एक सिक्का है
collaborate;sahayog
collection;sanchayana
common;ubhayanishtha
compare;tulana;Don't compare with me;मेरे साथ तुलना मत करो
compensation;pratikaran
conclusion;parinam;This is the conclusion;यह परिणाम है
concrete;murt
cone;shanku;This is a cone;यह एक शंकु है
congruent;sarwagsam
consecutive;krmaagat
constant;achr
construct;rachna
contrast;vishamata
conversion;roopantaran
convert;badalna
coordinate;nirdeshank
corner;kona
corresponding;sngat
counter;prati
count;ginati
cube;ghan;I like cube;मुझे घन पसंद है
cup;pyala
currency;mudra;Currency is going up;मुद्रा बढ़ रही है
customary;prachalit
cylinder;belan
data;aankade;This data is good;ये आंकड़े अच्छे है
day;diwas;Today is a good day;आज अच्छा दिवस है
daylight;diwalok
decagon;dashabhuj
decimal;dashamalav;There is a decimal point;एक दशमलव बिंदु है
relation;smbhndh
decompose;viyojan
degree;ansh
denominator;hr
density;ghanatva
design;khaka
diagram;aarekh;Please make a diagram;कृपया एक आरेख बनाएं
diameter;vyas;This is the diameter;यह व्यास है
difference;antar;There is difference between them;उनके बीच अंतर है
digit;ank;Please enter a digit;कृपया एक अंक दर्ज करें
dimension;aayam;Please enter a dimension;कृपया एक आयाम दर्ज करें
discuss;charcha
divisible;vibhagya
division;bhag
divisor;bhajak
dodecahedron;dwadashfalak
double;doguna;It is double;यह दोगुना है
draw;chitra
edge;kor
eight;aath;There are eight people;आठ लोग हैं
elapse;vyatit
ellipse;dirghavrutta
end;antim
equal;barabar;They are equal;वे बराबर हैं
equation;samikaran;Please write equation;कृपया समीकरण लिखें
equidistant;samantarali
equivalent;samaayatan
estimate;anuman;Kindly estimate it;कृपया इसका अनुमान लगाएं
evaluate;maan
evening;sayankal
even;sm
event;ghatna;Kindly narrate the event;कृपया घटना को बताएं
examine;jach
example;udahran
expand;vistar;He wants to expand;वह विस्तार करना चाहता है
explain;vyakhya
extend;vistrut
face;agrabhag
factor;ghtak
factorial;krmgoonit
fair;uchit;This is fair;यह उचित है
false;asaty
fewer;kamatar
fifths;panchavan
first;pahala;He is first person to reach;वह पहुंचने वाला पहला व्यक्ति है
five;panch;There are five people;वहां पांच लोग हैं
flip;uchalna
form;roop;He is in good form;वह अच्छे रूप में है
formula;sutra;Please write the formula;कृपया सूत्र लिखें
four;char;There are four people;वहां चार लोग हैं
fourths;chauthai;Please give me fourth part
fraction;bhinna
front;agra
geometric;jyamitiya
graph;lekhachitra
grid;jhnjhari
guess;andaja
half;adha;Please give me half part;कृपया मुझे आधा हिस्सा दें
heavy;bhaari;It is very heavy;यह बहुत भारी है
heptagon;saptabhuj
hexagon;shadbhuj
higher;ucchatar
hour;ghanta;We have one hour;हमारे पास एक घंटा है
hundred;sau;There were hundred people;सौ लोग थे
identify;phachanana
impossible;asambhav;It is impossible;यह असंभव है
improper;visham
inch;inch;Its size is one inch;इसका आकार एक इंच है
increase;badhana;He wants to increase payment;वह भुगतान बढ़ाना चाहता है
inequality;asamaanta
inside;andar
integer;purnank
interpretation;vyakhya
invalid;amaanya
inverse;pratilomi
isosceles;samdhvibahu
kilogram;kilogram
kilometre;kilometer
language;bhasha
large;vishal
last;aakhiri
least;laghutam
length;lambai
less;km
light;halka
likely;sambhavna
line;rekha
litre;liter
logical;tarkik
logic;tarkshastra
long;lamba
lower;nyun
mark;chinnh
mass;dravyamaan
mathematics;ganit
mean;maadhya
measure;maapna
measurement;maap
median;maadhyika
metre;meter
mile;meel
millilitre;mililiter
millimeter;milimeter
minus;ghataana
minute;minute
mode;bahulak
money;dhan
multiple;gunaj
multiplicand;guny
multiplication;gunna
multiplier;gunnk
next;nikattam
nine;nau
nonagon;navbhuj
number;sankhya
object;vstu
octagon;ashtbhuj
on;pr
operation;sankriya
order;kram
origin;utpatti
over;upar;What's on top;उसके ऊपर क्या है
parabola;parvaly
pattern;pratimaan
pentagon;panchbhuj
percent;pratishat
perimeter;parimaap
pi;pai
plus;jama
point;bindoo
polygon;bahubhuj
polyhedron;bahufalak
power;ghaat
prism;prism
probability;sambhavyata
problem;samasya;solve this problem;इस समस्या को हल करें
product;gunnanfal
property;gunn
pyramid;pyraimid
quadrangle;chatushkon
quadrant;chaturthaash
quadrilateral;chaturbhuj
question;sawal;Don't ask this question;इस सवाल से मत पूछो
quotient;bhagfal
radius;trijya
range;range
rate;dar
ratio;anupath
rationale;muladhar
ray;kiran;Sun rays are shining at us;सूर्य की किरणें चमक रही हैं
reasoning;vivachan
rectangle;aayat
remainder;sheshfal
rhombus;samchaturbhuj
rotation;ghoornan
rule;niyam
second;second
semicircle;ardhvratt
seven;saat;We have done this work in seven hours;हमने यह काम सात घंटो में किया है
shape;akriti;Whose shape is this;यह किसकी आकृति है
share;hissa
shorter;chota
side;bhuja
six;chhah
size;aakaar
slide;fisalna
small;laghu
solution;samadhan
solve;hal;It's easy to solve;इसे हल करना आसान है
some;kuch
sort;chantana
special;visesh
speed;gati
sphere;gola
spring;vasant;This is spring season;यह वसंतऋतृ का मौसम
sqaure;varg;There are four sides of a square;एक वर्ग के चार पक्ष हैं
substitution;pratisthapana
sum;yogfal
survey;survekshan
symbol;prateek
symmetry;sammiti
system;padhdati
table;talika
tall;lanba
ten;das
term;pad
theorem;pramay
third;teesra
three;teen
time;samay;Time is money;समय ही धन है
together;sath
ton;ton
trapezoid;samlanbabh
triangle;trikon;There are three sides of a triangle;एक त्रिकोण के तीन होते पक्ष हैं
true;saty;Conquering over the truth is impossible;सत्य पर विजय नामुमकिन है
turn;ghoomna
two;do;Two and two equals four;दो और दो बराबर चार
understand;samazana
unit;eekai
valid;manya
value;muly
variable;chr
vertex;sheersh
vertical;anulanb
vertices;shirobinduoon
volume;khand
week;saptah;There are seven days in a week;एक सप्ताह में सात दिन होते हैं
whole;purn
width;chaudai
yard;gaj
year;saal
zero;shunye;Aryabhatta discovered zero;आर्यभट्ट ने शून्य की खोज की
